Comorbidity,Specific CFR (%)
CHRONIC_RENAL,12.456031450444858
CARDIOVASCULAR,12.186614344887726
COPD,11.746922910818398
DIABETES,9.734660955665571
HYPERTENSION,9.145558002936857
TOBACCO_USE,8.775981524249422
IMMUNOSUPPRESSED,8.045977011494253
OTHER_COMORBIDITY,6.5944745245036795
OBESITY,5.993243979514003
ASTHMA,2.076308784383319
